SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
3435.51,115,8,410,2,2,0,75,1,20,0,0
3445.51,115,13,412,4,4,0,75,1,20,0,0
3455.51,116,6,413,4,4,0,75,2,30,0,0
3465.51,116,11,414,5,5,0,75,2,30,0,0
3475.51,116,18,415,6,6,0,75,2,30,0,0
3485.51,117,5,416,1,1,0,50,0,40,0,0
3495.51,117,8,417,1,1,0,50,0,40,0,0
3505.51,117,11,419,2,2,0,50,0,40,0,0
3515.51,117,17,420,1,1,0,50,0,40,0,0
3525.51,118,6,421,2,2,0,62.5,1,20,0,0
3535.51,118,12,422,3,3,0,62.5,1,20,0,0
3545.51,119,6,423,3,3,0,50,2,30,0,0
3555.51,119,9,424,4,4,0,50,2,30,0,0
3565.51,119,18,425,5,5,0,50,2,30,0,0
3575.51,120,5,427,2,2,0,50,0,40,0,0
3585.51,120,7,428,1,1,0,50,0,40,0,0
3595.51,120,12,429,1,1,0,50,0,40,0,0
3605.51,120,17,430,1,1,0,50,0,40,0,0
3615.51,121,7,431,2,2,0,62.5,1,20,0,0
3625.51,121,12,432,3,3,0,62.5,1,20,0,0
3635.51,122,5,433,2,2,0,50,2,30,0,0
3645.51,122,9,434,3,3,0,50,2,30,0,0
3655.51,122,17,435,4,4,0,50,2,30,0,0
3665.51,123,5,436,1,1,0,50,0,45,0,0
3675.51,123,7,438,2,2,0,50,0,45,0,0
3685.51,123,12,439,1,1,0,50,0,45,0,0
3695.51,123,17,440,1,1,0,50,0,45,0,0
3705.51,124,4,441,1,1,0,64.2856,1,20,0,0
3715.51,124,10,443,3,3,0,64.2856,1,20,0,0
3725.51,125,2,444,4,4,0,50,2,26,0,0
3735.51,125,4,445,4,4,0,50,2,26,0,0
3745.51,125,13,447,6,6,0,50,2,26,0,0
3755.51,126,6,448,4,4,0,74.99977,0,40,0,0
3765.51,126,7,449,1,1,0,74.99977,0,40,0,0
3775.51,126,11,450,1,1,0,74.99977,0,40,0,0
3785.51,126,18,451,1,1,0,74.99977,0,40,0,0
3795.51,127,5,452,1,1,0,50,1,20,0,0
3805.51,127,9,454,3,3,0,50,1,20,0,0
3815.51,128,7,455,1,1,0,75,2,30,0,0
3825.51,128,9,456,2,2,0,75,2,30,0,0
3835.51,128,17,457,3,3,0,75,2,30,0,0
3845.51,129,6,459,2,2,0,66.66666,0,40,0,0
3855.51,129,9,460,1,1,0,66.66666,0,40,0,0
3865.51,129,11,462,2,2,0,66.66666,0,40,0,0
3875.51,129,18,463,1,1,0,66.66666,0,40,0,0
3885.51,130,5,464,1,1,0,62.5,1,20,0,0
3895.51,130,10,466,3,3,0,62.5,1,20,0,0
3905.51,131,6,467,1,1,0,75,2,30,0,0
3915.51,131,9,468,1,1,0,75,2,30,0,0
3925.51,131,16,469,1,1,0,75,2,30,0,0
3935.51,132,3,471,2,2,0,66.66666,0,40,0,0
3945.51,132,6,472,1,1,0,66.66666,0,40,0,0
3955.51,132,9,473,1,1,0,66.66666,0,40,0,0
3965.51,132,15,474,1,1,0,66.66666,0,40,0,0
3975.51,133,5,475,1,1,0,50,1,20,0,0
3985.51,133,10,476,2,2,0,50,1,20,0,0
3995.51,134,5,478,4,4,0,75,2,30,0,0
4005.51,134,10,479,5,5,0,75,2,30,0,0
4015.51,134,14,480,6,6,0,75,2,30,0,0
4025.51,135,4,481,4,4,0,50,0,40,0,0
4035.51,135,6,482,1,1,0,50,0,40,0,0
4045.51,135,12,483,1,1,0,50,0,40,0,0
4055.51,135,16,484,1,1,0,50,0,40,0,0
4065.51,136,6,486,2,2,0,62.5,1,20,0,0
4075.51,136,9,487,3,3,0,62.5,1,20,0,0
4085.51,137,3,488,3,3,0,50,2,30,0,0
4095.51,137,9,489,4,4,0,50,2,30,0,0
4105.51,137,13,490,5,5,0,50,2,30,0,0
4115.51,138,2,491,3,3,0,66.66721,0,40,0,0
4125.51,138,5,492,1,1,0,66.66721,0,40,0,0
4135.51,138,8,493,1,1,0,66.66721,0,40,0,0
4145.51,138,14,494,1,1,0,66.66721,0,40,0,0
4155.51,139,5,495,1,1,0,50,1,20,0,0
4165.51,139,8,497,3,3,0,50,1,20,0,0
4175.51,140,2,498,3,3,0,50,2,25,0,0
4185.51,140,8,499,4,4,0,50,2,25,0,0
4195.51,140,12,500,5,5,0,50,2,25,0,0
4205.51,141,7,502,2,2,0,56.24931,0,40,0,0
4215.51,141,10,503,1,1,0,56.24931,0,40,0,0
4225.51,141,13,504,1,1,0,56.24931,0,40,0,0
4235.51,141,19,505,1,1,0,56.24931,0,40,0,0
4245.51,142,9,507,3,3,0,62.5,1,20,0,0
4255.51,142,12,508,4,4,0,62.5,1,20,0,0
4265.51,143,5,510,2,2,0,75,2,30,0,0
4275.51,143,12,511,1,1,0,75,2,30,0,0
4285.51,143,17,512,2,2,0,75,2,30,0,0
4295.51,144,5,513,1,1,0,66.66666,0,40,0,0
4305.51,144,7,515,2,2,0,66.66666,0,40,0,0
4315.51,144,12,516,1,1,0,66.66666,0,40,0,0
4325.51,144,15,517,1,1,0,66.66666,0,40,0,0
4335.51,145,10,518,2,2,0,62.5,1,20,0,0
4345.51,145,12,519,3,3,0,62.5,1,20,0,0
4355.51,146,4,520,4,4,0,50,2,30,0,0
4365.51,146,12,521,5,5,0,50,2,30,0,0
4375.51,146,16,522,6,6,0,50,2,30,0,0
4385.51,147,5,523,1,1,0,50,0,40,0,0
4395.51,147,8,525,2,2,0,50,0,40,0,0
4405.51,147,13,526,1,1,0,50,0,40,0,0
4415.51,147,17,527,1,1,0,50,0,40,0,0
4425.51,148,7,529,3,3,0,62.5,1,20,0,0
4435.51,148,12,530,4,4,0,62.5,1,20,0,0
4445.51,149,4,531,2,2,0,75,2,25,0,0
4455.51,149,11,533,4,4,0,75,2,25,0,0
4465.51,150,3,534,5,5,0,56.25034,0,40,0,0
