Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
663,23,253,4,2116.382
664,23,253,4,2119.716
665,23,254,5,2123.049
666,23,254,5,2126.382
667,23,254,5,2129.716
668,23,255,6,2133.049
669,23,255,6,2136.382
670,23,256,7,2139.716
671,23,256,4,2143.049
672,23,256,1,2146.382
673,23,257,1,2149.716
674,23,257,1,2153.049
675,23,257,1,2156.382
676,23,258,1,2159.716
677,23,258,1,2163.049
678,23,258,1,2166.382
679,23,259,1,2169.716
680,23,259,1,2173.049
681,23,260,2,2176.382
682,23,260,2,2179.716
683,23,261,3,2183.049
684,23,261,3,2186.382
685,23,262,4,2189.716
686,23,262,4,2193.049
687,23,263,5,2196.382
688,23,263,5,2199.716
689,23,264,6,2203.049
690,23,264,6,2206.382
691,24,265,7,2209.716
692,24,265,7,2213.049
693,24,265,7,2216.382
694,24,266,8,2219.716
695,24,266,8,2223.049
696,24,266,8,2226.382
697,24,267,9,2229.716
698,24,267,6,2233.049
699,24,268,3,2236.382
700,24,268,1,2239.716
701,24,268,1,2243.049
702,24,269,1,2246.382
703,24,269,1,2249.716
704,24,270,2,2253.049
705,24,270,1,2256.382
706,24,270,1,2259.716
707,24,271,2,2263.049
708,24,271,2,2266.382
709,24,272,3,2269.716
710,24,272,3,2273.049
711,24,272,3,2276.382
712,24,273,4,2279.716
713,24,273,4,2283.049
714,24,274,5,2286.382
715,24,274,5,2289.716
716,24,275,2,2293.049
717,24,275,2,2296.382
718,24,276,3,2299.716
719,24,276,3,2303.049
720,24,277,4,2306.382
721,25,277,4,2309.716
722,25,277,4,2313.049
723,25,278,5,2316.382
724,25,278,5,2319.716
725,25,278,2,2323.049
726,25,279,1,2326.382
727,25,279,1,2329.716
728,25,279,1,2333.049
729,25,280,1,2336.382
730,25,280,1,2339.716
731,25,280,1,2343.049
732,25,281,1,2346.382
733,25,281,1,2349.716
734,25,281,1,2353.049
735,25,282,2,2356.382
736,25,282,2,2359.716
737,25,283,3,2363.049
738,25,283,3,2366.382
739,25,283,3,2369.716
740,25,284,4,2373.049
741,25,284,4,2376.382
742,25,284,4,2379.716
743,25,285,5,2383.049
744,25,285,5,2386.382
745,25,286,6,2389.716
746,25,286,6,2393.049
747,25,287,7,2396.382
748,25,287,7,2399.716
749,25,287,7,2403.049
750,25,288,8,2406.382
751,26,288,8,2409.716
752,26,288,4,2413.049
753,26,289,2,2416.382
754,26,289,1,2419.716
755,26,289,1,2423.049
756,26,290,1,2426.382
757,26,290,1,2429.716
758,26,290,1,2433.049
759,26,291,1,2436.382
760,26,291,1,2439.716
761,26,292,2,2443.049
762,26,292,2,2446.382
763,26,292,2,2449.716
764,26,293,3,2453.049
765,26,293,3,2456.382
766,26,293,3,2459.716
767,26,294,4,2463.049
768,26,294,4,2466.382
769,26,294,4,2469.716
770,26,295,4,2473.049
771,26,295,4,2476.382
772,26,296,5,2479.716
773,26,296,5,2483.049
774,26,297,6,2486.382
775,26,297,6,2489.716
776,26,297,6,2493.049
